"task_id","cell_id","model","n","informative","rep","dgm_tag","brier","cal_int","cal_slope","mean_pred","obs_rate","ndiv","ebfmi"
"c1_floor_n87_ni_r001",1,"floor",87,FALSE,1,"v2_cohort_posterior_hazard",0.120365801865761,1.47500641545545,1.5233385736698,0.54236037774068,0.689655172413793,0,0.671430996549163
"c1_floor_n87_ni_r002",1,"floor",87,FALSE,2,"v2_cohort_posterior_hazard",0.10888123571067,1.61231556181235,2.11488021214521,0.482022529583992,0.609195402298851,0,0.589489344845686
"c1_floor_n87_ni_r003",1,"floor",87,FALSE,3,"v2_cohort_posterior_hazard",0.123619349006457,1.41460423786666,1.67305558605334,0.554539161287391,0.71264367816092,0,0.621674901105343
"c1_floor_n87_ni_r004",1,"floor",87,FALSE,4,"v2_cohort_posterior_hazard",0.124714734242816,1.51045732369658,1.70318414500597,0.549739813622493,0.71264367816092,0,0.58902004485709
"c1_floor_n87_ni_r005",1,"floor",87,FALSE,5,"v2_cohort_posterior_hazard",0.138938609283893,1.44205267418378,1.40498629143715,0.619293124267618,0.804597701149425,0,0.597058105352925
"c1_floor_n87_ni_r006",1,"floor",87,FALSE,6,"v2_cohort_posterior_hazard",0.114849011834701,1.21159275132318,1.80797998285186,0.551682681488752,0.67816091954023,0,0.592666702964716
"c1_floor_n87_ni_r007",1,"floor",87,FALSE,7,"v2_cohort_posterior_hazard",0.110292409333659,1.07328571927162,1.92630217962083,0.57489611645679,0.701149425287356,0,0.69336708923461
"c1_floor_n87_ni_r008",1,"floor",87,FALSE,8,"v2_cohort_posterior_hazard",0.106806333438567,1.30041461984262,1.84622674321922,0.559799714230527,0.689655172413793,0,0.597866409376986
"c1_floor_n87_ni_r009",1,"floor",87,FALSE,9,"v2_cohort_posterior_hazard",0.108744938171429,1.45037912455373,1.67007867777058,0.597817673562086,0.758620689655172,0,0.55348672453963
"c1_floor_n87_ni_r010",1,"floor",87,FALSE,10,"v2_cohort_posterior_hazard",0.157444190569575,1.59382015610395,1.20257810535845,0.591841557567192,0.793103448275862,0,0.630675315439555
