"variable","mean","sd","q5","q95","rhat","ess_bulk","ess_tail","truth"
"beta0",-2.106995541275,0.230873926881535,-2.49450819,-1.73934711,1.00031635129672,6223.44384922852,3374.77194461667,-2.074
"beta1",-3.233727302575,0.314602053812419,-3.752021935,-2.72470156,1.00082612852534,4645.88750547224,3003.56305215484,-3.561
"beta2",0.4546508964202,0.16501677389537,0.1854022345,0.7329280985,0.999575262029635,6376.39676947792,3312.64867560137,0.502
"beta_bm",0.680951440993973,0.199728750752808,0.3561283815,1.00881039,0.999969912242541,7236.3037332431,2843.40589980395,0.607
"sigma_y",1.692879175725,0.0474607233792404,1.615974115,1.774063155,1.00043317386535,5214.92368636805,3230.61111523349,1.813
"tau0",1.371931587795,0.113419891669623,1.19163311,1.563994845,0.999926209309205,2241.20792233571,3134.24638416936,0.968
"tau1",2.22407458715,0.169533996734193,1.95187406,2.509020135,1.00155331372436,2105.64803430359,2710.70005603465,2.203
"gamma0",-5.684896726225,0.885938775806905,-7.22562227,-4.31178219,1.00139958848644,3172.33165040998,3318.52221435902,-4.095
"gamma1",-0.68254500985029,0.373364874486827,-1.28956155,-0.0788900547000003,1.00038302548331,7933.77309060068,3130.27984149131,-0.228
"gamma2",-2.3245941361325,0.509145064462619,-3.165372805,-1.50351749,1.00067467470631,7554.56048175235,3145.0499476024,-1.831
"alpha",-1.77391394685,0.214723931238261,-2.1509204,-1.447522825,1.00103938171158,3160.82231768513,3037.59035428006,-1.275
