"prior_set","param","nrep","bias","bias_mcse","coverage","cov_mcse"
"current","alpha",40,0.234337737564531,0.0277262975918343,0.875,0.0522912516583797
"vague","alpha",40,-0.249131027096406,0.0673901869483189,0.95,0.0344601218802256
"wide2","alpha",40,-0.109985563902187,0.0498260284574789,0.975,0.0246855220726644
"wide4","alpha",40,-0.274758837505937,0.068443324611148,0.925,0.0416458281223942
"current","beta_bm",40,-0.0928050997255171,0.0306341666492214,0.95,0.0344601218802256
"vague","beta_bm",40,-0.0475983102569315,0.0268230931481981,0.975,0.0246855220726644
"wide2","beta_bm",40,-0.0439379664051644,0.0303866639166078,0.95,0.0344601218802256
"wide4","beta_bm",40,-0.0798225124641645,0.0308304384590386,0.95,0.0344601218802256
"current","beta0",40,-0.0472493328159376,0.0459281055711379,0.9,0.0474341649025257
"vague","beta0",40,0.0157383354017967,0.0397075832776341,0.975,0.0246855220726644
"wide2","beta0",40,0.0182145337739061,0.0349775094153204,0.975,0.0246855220726644
"wide4","beta0",40,0.0513826941242968,0.0352795285029954,1,0
"current","beta1",40,0.408274494411953,0.0504749880178663,0.85,0.0564579489531811
"vague","beta1",40,0.0142349519280471,0.0688546676349773,0.95,0.0344601218802256
"wide2","beta1",40,0.109980964759063,0.0537705096116393,1,0
"wide4","beta1",40,0.125431291773281,0.0586519483334271,0.95,0.0344601218802256
"current","beta2",40,-0.215859625129787,0.0283151881520845,0.775,0.0660255632312213
"vague","beta2",40,-0.0211621439936004,0.0287304446452299,0.975,0.0246855220726644
"wide2","beta2",40,-0.0741523667571142,0.0311204511348867,0.95,0.0344601218802256
"wide4","beta2",40,-0.0503299403814041,0.0288882638199615,0.975,0.0246855220726644
"current","gamma0",40,0.671308179557735,0.108145534728191,0.925,0.0416458281223942
"vague","gamma0",40,-0.971886675304687,0.248863752420225,1,0
"wide2","gamma0",40,-0.526238891789922,0.206312028487615,0.95,0.0344601218802256
"wide4","gamma0",40,-1.03525475853437,0.300321191832161,0.925,0.0416458281223942
"current","gamma1",40,0.0180087630416657,0.0418477985962198,1,0
"vague","gamma1",40,0.0431720653577681,0.0837201831679491,0.925,0.0416458281223942
"wide2","gamma1",40,-0.0157079776875309,0.0666277223273479,1,0
"wide4","gamma1",40,0.0740559205153345,0.0780880785992641,0.95,0.0344601218802256
"current","gamma2",40,0.890638752617314,0.072538800610713,0.775,0.0660255632312213
"vague","gamma2",40,0.0949730611777408,0.131564713356744,0.975,0.0246855220726644
"wide2","gamma2",40,0.507763316431093,0.102139147811003,0.925,0.0416458281223942
"wide4","gamma2",40,0.154251919092057,0.174522712477006,0.875,0.0522912516583797
"current","sigma_y",40,0.00446454616953136,0.00715609208367684,1,0
"vague","sigma_y",40,0.00687447471171885,0.00934235913277487,0.925,0.0416458281223942
"wide2","sigma_y",40,0.00204588544375008,0.0100812977936291,0.875,0.0522912516583797
"wide4","sigma_y",40,0.00483089049453133,0.00799075005903203,0.925,0.0416458281223942
"current","tau0",40,-0.00433617619281252,0.0252732665495975,0.9,0.0474341649025257
"vague","tau0",40,0.00598503878945312,0.0209824167298751,0.95,0.0344601218802256
"wide2","tau0",40,-0.0184233534746875,0.0248045279230154,0.925,0.0416458281223942
"wide4","tau0",40,-0.0265226681846094,0.0251861986331263,0.95,0.0344601218802256
"current","tau1",40,0.0375751063570312,0.0302037762357239,0.975,0.0246855220726644
"vague","tau1",40,-0.0299634299906251,0.0305248470606481,0.975,0.0246855220726644
"wide2","tau1",40,0.0196311904656249,0.0394820328938773,0.9,0.0474341649025257
"wide4","tau1",40,0.0498440102914062,0.027046837822626,1,0
