"prior_set","rep","param","bias","covered"
"current",1,"beta0",0.10120387093125,1
"current",1,"beta1",0.48348783329375,1
"current",1,"beta2",-0.343878570004122,1
"current",1,"beta_bm",-0.295698422941189,1
"current",1,"sigma_y",-0.0175293742875,1
"current",1,"tau0",0.0646250597487499,1
"current",1,"tau1",0.2399553870375,1
"current",1,"gamma0",0.982257865725001,1
"current",1,"gamma1",0.443940978770362,1
"current",1,"gamma2",0.186032043460625,1
"current",1,"alpha",0.221431148525,1
"current",2,"beta0",0.55673214735625,0
"current",2,"beta1",0.3239768702625,1
"current",2,"beta2",0.00180039771014373,1
"current",2,"beta_bm",-0.370455843063076,1
"current",2,"sigma_y",0.0620924604625002,1
"current",2,"tau0",-0.01727352093875,1
"current",2,"tau1",-0.32807379899375,1
"current",2,"gamma0",1.14008075894375,1
"current",2,"gamma1",0.183196029928506,1
"current",2,"gamma2",1.34382642213388,0
"current",2,"alpha",0.36519954821875,1
"current",3,"beta0",-0.0299344482562502,1
"current",3,"beta1",0.397864747575,1
"current",3,"beta2",-0.210425193344331,1
"current",3,"beta_bm",-0.0424713626483479,1
"current",3,"sigma_y",0.0257453239312502,1
"current",3,"tau0",0.118757289455,1
"current",3,"tau1",0.36607105113125,1
"current",3,"gamma0",0.60026306106875,1
"current",3,"gamma1",0.209465593906262,1
"current",3,"gamma2",1.14072398533192,1
"current",3,"alpha",0.319838974159375,1
"current",4,"beta0",-0.63733901338125,0
"current",4,"beta1",0.67028278829375,1
"current",4,"beta2",-0.407040650383301,0
"current",4,"beta_bm",0.393791357199777,0
"current",4,"sigma_y",-0.0530473089124999,1
"current",4,"tau0",-0.15840207611375,1
"current",4,"tau1",0.2126696330375,1
"current",4,"gamma0",-0.561065684712499,1
"current",4,"gamma1",0.241521634010301,1
"current",4,"gamma2",0.432369324905,1
"current",4,"alpha",0.116643669340625,1
"current",5,"beta0",0.0408360799,1
"current",5,"beta1",0.3145819332,1
"current",5,"beta2",-0.187835719758263,1
"current",5,"beta_bm",-0.101430318320192,1
"current",5,"sigma_y",-0.0137438220374999,1
"current",5,"tau0",0.18281563292375,1
"current",5,"tau1",0.04580388344375,1
"current",5,"gamma0",0.00699478169375034,1
"current",5,"gamma1",0.0629000794088838,1
"current",5,"gamma2",1.59297990109997,0
"current",5,"alpha",0.1243514046,1
"current",6,"beta0",-0.5303278747875,1
"current",6,"beta1",0.24281312223125,1
"current",6,"beta2",-0.485966673024781,0
"current",6,"beta_bm",0.159213507564465,1
"current",6,"sigma_y",0.0730348853062501,1
"current",6,"tau0",-0.00125932935124995,1
"current",6,"tau1",0.28729018300625,1
"current",6,"gamma0",-0.680567602212499,1
"current",6,"gamma1",0.108520167444956,1
"current",6,"gamma2",1.5945309181515,0
"current",6,"alpha",0.09976372550625,1
"current",7,"beta0",-0.18636271638125,1
"current",7,"beta1",0.6512756922625,1
"current",7,"beta2",-0.423012575248068,0
"current",7,"beta_bm",-0.038120181175223,1
"current",7,"sigma_y",-0.0122140172249998,1
"current",7,"tau0",0.01656888814875,1
"current",7,"tau1",0.105230126975,1
"current",7,"gamma0",0.27276930200625,1
"current",7,"gamma1",0.00211981386144933,1
"current",7,"gamma2",1.0610930582495,1
"current",7,"alpha",0.174125419890625,1
"current",8,"beta0",0.3925197188625,1
"current",8,"beta1",0.50839671829375,1
"current",8,"beta2",-0.2532378752066,1
"current",8,"beta_bm",-0.280519194526192,1
"current",8,"sigma_y",0.0306630137125001,1
"current",8,"tau0",0.30302828308,0
"current",8,"tau1",-0.08603083715,1
"current",8,"gamma0",0.72763562535,1
"current",8,"gamma1",0.126526854638124,1
"current",8,"gamma2",1.13642877660878,1
"current",8,"alpha",0.23321168919375,1
"current",9,"beta0",-0.18724475919375,1
"current",9,"beta1",0.71334492716875,1
"current",9,"beta2",-0.490031702502203,0
"current",9,"beta_bm",0.00797085853571455,1
"current",9,"sigma_y",-0.0204918387874999,1
"current",9,"tau0",-0.010846920623125,1
"current",9,"tau1",0.12876823494375,1
"current",9,"gamma0",0.74709750294375,1
"current",9,"gamma1",0.275479117701361,1
"current",9,"gamma2",0.947033131075269,1
"current",9,"alpha",0.266201657903125,1
"current",10,"beta0",-0.545166776225,0
"current",10,"beta1",0.864142451078125,0
"current",10,"beta2",-0.425757882812529,0
"current",10,"beta_bm",0.164202468781027,1
"current",10,"sigma_y",0.0289238359625001,1
"current",10,"tau0",0.0360644707987501,1
"current",10,"tau1",0.0734011992874999,1
"current",10,"gamma0",0.688563717975001,1
"current",10,"gamma1",-0.280038433439022,1
"current",10,"gamma2",1.12403026247301,1
"current",10,"alpha",0.33998319116875,1
"current",11,"beta0",-0.0435636121625,1
"current",11,"beta1",0.73254026416875,0
"current",11,"beta2",-0.457984618801019,0
"current",11,"beta_bm",-0.17994977838447,1
"current",11,"sigma_y",-0.0262175768187498,1
"current",11,"tau0",-0.053387728960625,1
"current",11,"tau1",-0.30409216186875,1
"current",11,"gamma0",1.9009842996625,0
"current",11,"gamma1",-0.503599630152835,1
"current",11,"gamma2",1.54359373099377,0
"current",11,"alpha",0.5209109388,0
"current",12,"beta0",0.12583402549375,1
"current",12,"beta1",0.1840537572,1
"current",12,"beta2",-0.048973456777775,1
"current",12,"beta_bm",-0.0950410580702855,1
"current",12,"sigma_y",0.00105373521250018,1
"current",12,"tau0",-0.07423334216375,1
"current",12,"tau1",0.0504704125687501,1
"current",12,"gamma0",0.55635099069375,1
"current",12,"gamma1",0.125848974902156,1
"current",12,"gamma2",0.895934487624781,1
"current",12,"alpha",0.267442728009375,1
"current",13,"beta0",-0.0391314248500003,1
"current",13,"beta1",0.3090969460125,1
"current",13,"beta2",-0.144079087772545,1
"current",13,"beta_bm",-0.0772435510055355,1
"current",13,"sigma_y",-0.0396868674437498,1
"current",13,"tau0",-0.050096775635625,1
"current",13,"tau1",-0.0463567634625002,1
"current",13,"gamma0",0.8709132159125,1
"current",13,"gamma1",0.18267200668334,1
"current",13,"gamma2",0.580147925125313,1
"current",13,"alpha",0.26563202889375,1
"current",14,"beta0",-0.03913407675625,1
"current",14,"beta1",0.2743501007625,1
"current",14,"beta2",-0.210615393111041,1
"current",14,"beta_bm",-0.176596378867473,1
"current",14,"sigma_y",0.0268853943687501,1
"current",14,"tau0",-0.392196256245,0
"current",14,"tau1",0.2314071847875,1
"current",14,"gamma0",0.89613127475625,1
"current",14,"gamma1",-0.100518983263835,1
"current",14,"gamma2",0.203878691141875,1
"current",14,"alpha",0.160569905909375,1
"current",15,"beta0",-0.0628992175375003,1
"current",15,"beta1",0.42579013629375,1
