"sbc","param","rank","L","ndiv","comp_fail"
1,"beta0",36,100,0,0
1,"beta1",59,100,0,0
1,"beta2",86,100,0,0
1,"beta_bm",93,100,0,0
1,"sigma_y",99,100,0,0
1,"tau0",83,100,0,0
1,"tau1",73,100,0,0
1,"gamma0",28,100,0,0
1,"gamma1",46,100,0,0
1,"gamma2",40,100,0,0
1,"alpha",3,100,0,0
2,"beta0",60,100,0,0
2,"beta1",90,100,0,0
2,"beta2",13,100,0,0
2,"beta_bm",22,100,0,0
2,"sigma_y",59,100,0,0
2,"tau0",81,100,0,0
2,"tau1",29,100,0,0
2,"gamma0",48,100,0,0
2,"gamma1",92,100,0,0
2,"gamma2",43,100,0,0
2,"alpha",74,100,0,0
3,"beta0",44,100,0,0
3,"beta1",48,100,0,0
3,"beta2",76,100,0,0
3,"beta_bm",81,100,0,0
3,"sigma_y",11,100,0,0
3,"tau0",48,100,0,0
3,"tau1",45,100,0,0
3,"gamma0",64,100,0,0
3,"gamma1",38,100,0,0
3,"gamma2",30,100,0,0
3,"alpha",56,100,0,0
4,"beta0",100,100,0,0
4,"beta1",51,100,0,0
4,"beta2",28,100,0,0
4,"beta_bm",31,100,0,0
4,"sigma_y",46,100,0,0
4,"tau0",45,100,0,0
4,"tau1",20,100,0,0
4,"gamma0",58,100,0,0
4,"gamma1",80,100,0,0
4,"gamma2",10,100,0,0
4,"alpha",56,100,0,0
5,"beta0",52,100,0,0
5,"beta1",9,100,0,0
5,"beta2",95,100,0,0
5,"beta_bm",46,100,0,0
5,"sigma_y",36,100,0,0
5,"tau0",32,100,0,0
5,"tau1",9,100,0,0
5,"gamma0",62,100,0,0
5,"gamma1",94,100,0,0
5,"gamma2",8,100,0,0
5,"alpha",81,100,0,0
6,"beta0",43,100,0,0
6,"beta1",73,100,0,0
6,"beta2",23,100,0,0
6,"beta_bm",48,100,0,0
6,"sigma_y",72,100,0,0
6,"tau0",35,100,0,0
6,"tau1",70,100,0,0
6,"gamma0",35,100,0,0
6,"gamma1",80,100,0,0
6,"gamma2",36,100,0,0
6,"alpha",42,100,0,0
7,"beta0",45,100,0,0
7,"beta1",96,100,0,0
7,"beta2",4,100,0,0
7,"beta_bm",11,100,0,0
7,"sigma_y",1,100,0,0
7,"tau0",92,100,0,0
7,"tau1",82,100,0,0
7,"gamma0",3,100,0,0
7,"gamma1",91,100,0,0
7,"gamma2",83,100,0,0
7,"alpha",49,100,0,0
