param,nsbc,L,nbin,min_expected,chisq,df,p,p_holm
beta0,150,100,20,7.43,31.78,19,0.0331,0.3641
beta1,150,100,20,7.43,29.82,19,0.05407,0.5407
beta_bm,150,100,20,7.43,26.39,19,0.11966,1.0
gamma0,150,100,20,7.43,23.9,19,0.20003,1.0
gamma1,150,100,20,7.43,22.89,19,0.24224,1.0
alpha,150,100,20,7.43,22.62,19,0.25448,1.0
sigma_y,150,100,20,7.43,19.32,19,0.43643,1.0
beta2,150,100,20,7.43,19.05,19,0.45353,1.0
gamma2,150,100,20,7.43,17.86,19,0.53167,1.0
tau1,150,100,20,7.43,11.24,19,0.91547,1.0
tau0,150,100,20,7.43,10.59,19,0.93686,1.0
