"dgm_tag","scen_id","tag","n","nfit","rate_bad","rate_marginal","max_rhat","min_ebfmi","tot_div"
"v1_legacy_legacy_hazard",1,"central",87,200,0.01,0.09,1.77598410357054,3.47066622105629e-05,0
"v1_legacy_legacy_hazard",2,"central",150,131,0.00763358778625954,0.122137404580153,1.65897921866951,3.35023256128861e-05,0
"v1_legacy_legacy_hazard",3,"misspec",150,30,0,0.933333333333333,1.02212241642358,0.517838983382724,0
"v1_legacy_legacy_hazard",4,"misspec",150,30,0,1,1.02406464739133,0.510074255058368,0
"v1_legacy_legacy_hazard",5,"misspec",150,30,0,0.933333333333333,1.01689082269405,0.505159044010275,0
"v1_legacy_legacy_hazard",6,"misspec",150,30,0.0333333333333333,1,1.04730743332232,0.566352722703134,1
"v1_legacy_legacy_hazard",7,"misspec",150,30,0,1,1.022952959166,0.521552544735297,0
"v1_legacy_legacy_hazard",8,"central",300,30,0,1,1.02267985241731,0.513215122204171,0
"v2_cohort_posterior_hazard",1,"central",87,200,0.005,0.705,1.64860253426908,0.000110565629180781,0
"v2_cohort_posterior_hazard",2,"central",150,200,0.005,0.955,1.69957834140598,8.7405667764615e-05,0
"v2_cohort_posterior_hazard",3,"misspec",150,100,0,0.98,1.02467367573298,0.470062354217076,0
"v2_cohort_posterior_hazard",4,"misspec",150,100,0,0.9,1.02395216616532,0.497094559106807,0
"v2_cohort_posterior_hazard",5,"misspec",150,100,0.02,0.95,1.70238220813068,0.000102765693262557,0
"v2_cohort_posterior_hazard",6,"misspec",150,100,0,0.95,1.03358585543082,0.467670161666604,0
"v2_cohort_posterior_hazard",7,"misspec",150,100,0,0.92,1.02688802843911,0.504464753906078,0
"v2_cohort_posterior_hazard",8,"central",300,100,0.01,0.99,1.6510655719364,8.23816221066752e-05,0
