dgm_tag,scen_id,label,n,param,nrep,bias,bias_mcse,coverage,cov_mcse,ci_width
v1_legacy_legacy_hazard,1,"Correct specification, n=87",87,alpha,198,0.0364,0.0107,0.96,0.014,0.68
v1_legacy_legacy_hazard,1,"Correct specification, n=87",87,beta0,198,-0.1259,0.0166,0.929,0.018,0.942
v1_legacy_legacy_hazard,1,"Correct specification, n=87",87,beta1,198,0.5266,0.0254,0.798,0.029,1.601
v1_legacy_legacy_hazard,1,"Correct specification, n=87",87,beta2,198,-0.2106,0.0124,0.848,0.025,0.743
v1_legacy_legacy_hazard,1,"Correct specification, n=87",87,beta_bm,198,-0.0336,0.0125,0.939,0.017,0.677
v1_legacy_legacy_hazard,1,"Correct specification, n=87",87,gamma0,198,-0.002,0.0435,0.975,0.011,2.933
v1_legacy_legacy_hazard,1,"Correct specification, n=87",87,gamma1,198,-0.0069,0.0232,0.99,0.007,1.494
v1_legacy_legacy_hazard,1,"Correct specification, n=87",87,gamma2,198,0.6481,0.0363,0.859,0.025,2.322
v1_legacy_legacy_hazard,1,"Correct specification, n=87",87,sigma_y,198,-0.0037,0.0031,0.934,0.018,0.17
v1_legacy_legacy_hazard,1,"Correct specification, n=87",87,tau0,198,-0.019,0.0104,0.944,0.016,0.572
v1_legacy_legacy_hazard,1,"Correct specification, n=87",87,tau1,198,-0.0164,0.0162,0.919,0.019,0.851
v1_legacy_legacy_hazard,2,"Correct specification, n=150",150,alpha,130,-0.0056,0.012,0.969,0.015,0.554
v1_legacy_legacy_hazard,2,"Correct specification, n=150",150,beta0,130,-0.101,0.0155,0.938,0.021,0.735
v1_legacy_legacy_hazard,2,"Correct specification, n=150",150,beta1,130,0.37,0.024,0.838,0.032,1.307
v1_legacy_legacy_hazard,2,"Correct specification, n=150",150,beta2,130,-0.1576,0.0109,0.877,0.029,0.603
v1_legacy_legacy_hazard,2,"Correct specification, n=150",150,beta_bm,130,-0.0183,0.0118,0.946,0.02,0.525
v1_legacy_legacy_hazard,2,"Correct specification, n=150",150,gamma0,130,-0.107,0.0482,0.977,0.013,2.416
v1_legacy_legacy_hazard,2,"Correct specification, n=150",150,gamma1,130,-0.0216,0.0229,0.977,0.013,1.207
v1_legacy_legacy_hazard,2,"Correct specification, n=150",150,gamma2,130,0.4745,0.0401,0.892,0.027,1.968
v1_legacy_legacy_hazard,2,"Correct specification, n=150",150,sigma_y,130,0.0051,0.0028,0.977,0.013,0.13
v1_legacy_legacy_hazard,2,"Correct specification, n=150",150,tau0,130,-0.0148,0.0092,0.962,0.017,0.426
v1_legacy_legacy_hazard,2,"Correct specification, n=150",150,tau1,130,0.0492,0.0151,0.962,0.017,0.666
v1_legacy_legacy_hazard,3,Trajectory: monotone,150,beta0,30,-0.098,0.0346,0.933,0.046,0.773
v1_legacy_legacy_hazard,3,Trajectory: monotone,150,beta1,30,-0.0692,0.0523,1.0,0.0,1.377
v1_legacy_legacy_hazard,3,Trajectory: monotone,150,beta_bm,30,-0.0094,0.0314,0.933,0.046,0.584
