"scen","n","informative","estimator","rep","beta1","sigma_y","tau1","alpha","brier","mean_pred","obs_rate","se_beta1","se_tau1"
"ni_n87",87,FALSE,"floor",1,-2.0754252,1.5889875,9.8250055,-2.3180327,0.0523727783270481,0.738687682832054,0.850574712643678,NA,NA
"ni_n87",87,FALSE,"floor",2,-2.0939313,1.44999,9.4972153,-2.1788567,0.0726322798356099,0.754307572423276,0.862068965517241,NA,NA
"ni_n87",87,FALSE,"floor",3,-1.9560755,1.4215446,11.323122,-2.123521,0.0637065679443597,0.725084915296386,0.816091954022989,NA,NA
"ni_n87",87,FALSE,"floor",4,-2.1411124,1.5156029,11.511902,-1.8701353,0.0840326009129745,0.651550335967291,0.758620689655172,NA,NA
"ni_n87",87,FALSE,"floor",5,-2.1976162,1.5131141,11.282976,-2.7509012,0.0392763831650423,0.789135958369711,0.850574712643678,NA,NA
"ni_n87",87,FALSE,"floor",6,-2.193556,1.5364179,10.412692,-2.0398775,0.083323863260747,0.738618610311757,0.862068965517241,NA,NA
"ni_n87",87,FALSE,"floor",7,-1.930028,1.5862811,11.296663,-1.9715078,0.0778016335988622,0.724460233167938,0.850574712643678,NA,NA
"ni_n87",87,FALSE,"floor",8,-2.1785401,1.4691997,10.547486,-2.0870065,0.0776249056770914,0.719917665771796,0.827586206896552,NA,NA
"ni_n87",87,FALSE,"floor",9,-2.1065129,1.4136262,12.165336,-1.8198974,0.0636708521434252,0.70530558568143,0.816091954022989,NA,NA
"ni_n87",87,FALSE,"floor",10,-1.9400371,1.5647387,10.271719,-2.3946231,0.0647500466355232,0.759826906842268,0.862068965517241,NA,NA
"ni_n87",87,FALSE,"floor",11,-1.8674992,1.5483112,9.9871978,-2.675115,0.0500438424707867,0.737707327376226,0.827586206896552,NA,NA
"ni_n87",87,FALSE,"floor",12,-2.1762299,1.5941128,10.774151,-2.4501517,0.0491337151725946,0.729123789086701,0.793103448275862,NA,NA
"ni_n87",87,FALSE,"floor",13,-1.5388267,1.5182149,11.7094,-2.4427177,0.0556391717734699,0.76390017781595,0.862068965517241,NA,NA
"ni_n87",87,FALSE,"floor",14,-1.8548652,1.5040833,11.809418,-2.1673925,0.0489541606639804,0.701142942975442,0.781609195402299,NA,NA
"ni_n87",87,FALSE,"floor",15,-1.9522535,1.4809526,11.21153,-2.1949041,0.0588030560906794,0.712105716766102,0.804597701149425,NA,NA
"ni_n87",87,FALSE,"floor",16,-1.9257769,1.5077849,12.911723,-2.0774043,0.0643665903601067,0.655905938743286,0.770114942528736,NA,NA
"ni_n87",87,FALSE,"floor",17,-2.1426212,1.7158099,11.387003,-2.5878073,0.0356941349135984,0.758995168580632,0.839080459770115,NA,NA
