"Characteristic","All","DMR","Censored"
"Patients, n","87","68","19"
"Age, mean (SD)","44.6 (15.5); n=62","44.9 (15.5); n=55","42.7 (16.2); n=7"
"Male sex, n (%)","38 (61.3%); n=62","35 (63.6%); n=55","3 (42.9%); n=7"
"Imatinib duration, years, median [IQR]","5.0 [2.1, 7.5]; n=62","5.0 [3.2, 7.8]; n=55","2.0 [1.5, 3.8]; n=7"
"Baseline PH+ %, median [IQR]","100.0 [100.0, 100.0]; n=62","100.0 [100.0, 100.0]; n=55","100.0 [100.0, 100.0]; n=7"
"3-month PH+ %, median [IQR]","0.0 [0.0, 10.1]; n=44","0.0 [0.0, 10.4]; n=38","0.0 [0.0, 3.8]; n=6"
"6-month PH+ %, median [IQR]","0.0 [0.0, 0.0]; n=52","0.0 [0.0, 0.0]; n=45","0.0 [0.0, 7.5]; n=7"
"12-month PH+ %, median [IQR]","0.0 [0.0, 0.0]; n=59","0.0 [0.0, 0.0]; n=52","0.0 [0.0, 0.0]; n=7"
"Follow-up, months, median [IQR]","39.0 [15.8, 65.8]; n=87","46.5 [23.1, 71.7]; n=68","13.0 [10.8, 24.1]; n=19"
"Visits per patient, median [IQR]","5 [4, 7]; n=87","6 [4, 8]; n=68","4 [3, 4]; n=19"
"DMR observed, n (%)","68 (78.2%); n=87","68 (100.0%); n=68","0 (0.0%); n=19"
