"model_key","model","bin","n","observed_events","mean_predicted","observed_rate","observed_rate_lower_95","observed_rate_upper_95"
"interval_timing_gap","Interval timing + visit gap",1,55,1,0.124822486417945,0.0181818181818182,0.000460217848795697,0.0971910157492534
"interval_timing_gap","Interval timing + visit gap",2,55,12,0.174270541066529,0.218181818181818,0.118135788258765,0.350102104763484
"interval_timing_gap","Interval timing + visit gap",3,55,14,0.213055478073559,0.254545454545455,0.146700445502928,0.390028442656995
"interval_timing_gap","Interval timing + visit gap",4,55,22,0.272009120536395,0.4,0.270228870445315,0.54092743606844
"interval_timing_gap","Interval timing + visit gap",5,55,19,0.452206010269214,0.345454545454545,0.222374877842833,0.485814950939319
"joint_exact_floor","Joint model, floor exact",1,55,0,0.00120067355474441,0,0,0.0648707608254246
"joint_exact_floor","Joint model, floor exact",2,55,1,0.0521970093847309,0.0181818181818182,0.000460217848795697,0.0971910157492534
"joint_exact_floor","Joint model, floor exact",3,55,4,0.15313929486888,0.0727272727272727,0.02017053335323,0.175867535283968
"joint_exact_floor","Joint model, floor exact",4,55,20,0.352479679789998,0.363636363636364,0.238138379213483,0.504368545088014
"joint_exact_floor","Joint model, floor exact",5,55,43,0.682202033164352,0.781818181818182,0.649897895236516,0.881864211741235
"joint_left_censored","Primary joint model",1,55,0,0.00184868854854907,0,0,0.0648707608254246
"joint_left_censored","Primary joint model",2,55,0,0.0530777577837923,0,0,0.0648707608254246
"joint_left_censored","Primary joint model",3,55,4,0.135327953557851,0.0727272727272727,0.02017053335323,0.175867535283968
"joint_left_censored","Primary joint model",4,55,19,0.327016011339327,0.345454545454545,0.222374877842833,0.485814950939319
"joint_left_censored","Primary joint model",5,55,45,0.71756782359797,0.818181818181818,0.690951494780657,0.90920949333646
"km_descriptive","Descriptive Kaplan--Meier",1,55,0,1e-06,0,0,0.0648707608254246
"km_descriptive","Descriptive Kaplan--Meier",2,55,9,0.0421547373317587,0.163636363636364,0.0776588191062201,0.288030002307828
"km_descriptive","Descriptive Kaplan--Meier",3,55,16,0.134368524189817,0.290909090909091,0.176299657358237,0.428982582556115
"km_descriptive","Descriptive Kaplan--Meier",4,55,19,0.236607802482224,0.345454545454545,0.222374877842833,0.485814950939319
"km_descriptive","Descriptive Kaplan--Meier",5,55,24,0.520257304761646,0.436363636363636,0.303036875277705,0.576783351044723
"landmark_mrd","Landmark MRD",1,11,2,0.195591703984136,0.181818181818182,0.0228311982999597,0.517755852360173
"landmark_mrd","Landmark MRD",2,11,4,0.27005224407071,0.363636363636364,0.109263443819098,0.692095284988323
"landmark_mrd","Landmark MRD",3,11,3,0.347299940675625,0.272727272727273,0.0602177341729066,0.609742559572421
"landmark_mrd","Landmark MRD",4,11,4,0.414412888090463,0.363636363636364,0.109263443819098,0.692095284988323
"landmark_mrd","Landmark MRD",5,11,7,0.590825041360894,0.636363636363636,0.307904715011677,0.890736556180902
