"model_key","model","bin","n","observed_events","mean_predicted","observed_rate","observed_rate_lower_95","observed_rate_upper_95"
"interval_timing_gap","Interval timing + visit gap",1,17,16,0.295306164493461,0.941176470588235,0.713110603332779,0.998511825608733
"interval_timing_gap","Interval timing + visit gap",2,17,13,0.426351809025799,0.764705882352941,0.50100672679542,0.931892259562643
"interval_timing_gap","Interval timing + visit gap",3,18,13,0.522889717740877,0.722222222222222,0.465198034416944,0.903050787474441
"interval_timing_gap","Interval timing + visit gap",4,17,12,0.608452078790519,0.705882352941177,0.440417281245663,0.89686448562968
"interval_timing_gap","Interval timing + visit gap",5,18,14,0.829640728286694,0.777777777777778,0.52362723426352,0.935907952282333
"joint_exact_floor","Joint model, floor exact",1,17,1,0.144342629442903,0.0588235294117647,0.00148817439126663,0.286889396667221
"joint_exact_floor","Joint model, floor exact",2,17,16,0.414369428344866,0.941176470588235,0.713110603332779,0.998511825608733
"joint_exact_floor","Joint model, floor exact",3,18,16,0.610086473355859,0.888888888888889,0.652879561391328,0.986248784335636
"joint_exact_floor","Joint model, floor exact",4,17,17,0.812426076506561,1,0.804935677030907,1
"joint_exact_floor","Joint model, floor exact",5,18,18,0.919786594569667,1,0.814698031862148,1
"joint_left_censored","Primary joint model",1,17,2,0.145940228527484,0.117647058823529,0.0145793168403025,0.36440916210125
"joint_left_censored","Primary joint model",2,17,13,0.390691925357964,0.764705882352941,0.50100672679542,0.931892259562643
"joint_left_censored","Primary joint model",3,18,18,0.628877720125798,1,0.814698031862148,1
"joint_left_censored","Primary joint model",4,17,17,0.848156822737584,1,0.804935677030907,1
"joint_left_censored","Primary joint model",5,18,18,0.949441037508635,1,0.814698031862148,1
"km_descriptive","Descriptive Kaplan--Meier",1,17,15,0.0995176921343249,0.882352941176471,0.63559083789875,0.985420683159698
"km_descriptive","Descriptive Kaplan--Meier",2,17,12,0.253541354446238,0.705882352941177,0.440417281245663,0.89686448562968
"km_descriptive","Descriptive Kaplan--Meier",3,18,14,0.408271542698982,0.777777777777778,0.52362723426352,0.935907952282333
"km_descriptive","Descriptive Kaplan--Meier",4,17,12,0.602142559502101,0.705882352941177,0.440417281245663,0.89686448562968
"km_descriptive","Descriptive Kaplan--Meier",5,18,15,0.850169892732525,0.833333333333333,0.585822508605226,0.964214916878425
"landmark_mrd","Landmark MRD",1,8,4,0.194975977642005,0.5,0.157012770487058,0.842987229512942
"landmark_mrd","Landmark MRD",2,8,5,0.347151923965998,0.625,0.244863216366552,0.914766585862746
"landmark_mrd","Landmark MRD",3,8,5,0.5619571941379,0.625,0.244863216366552,0.914766585862746
"landmark_mrd","Landmark MRD",4,8,6,0.827080198440944,0.75,0.349144205587176,0.968145973750056
