"analysis","random_structure","n_observations","n_patients","term","estimate","std_error","df","t_value","p_value","aic"
"floor_as_exact_minus5","random_intercept_slope",495,87,"(Intercept)",-2.70150984839802,0.685388082917031,404,-3.9415769193131,9.53835075546341e-05,1741.05667727341
"floor_as_exact_minus5","random_intercept_slope",495,87,"splines::ns(t_years, df = 3)1",-1.07155279371894,0.38469186749042,404,-2.78548335505332,0.00559643722302694,1741.05667727341
"floor_as_exact_minus5","random_intercept_slope",495,87,"splines::ns(t_years, df = 3)2",-3.93817679740211,0.563719112365685,404,-6.98606222676269,1.17143034334578e-11,1741.05667727341
"floor_as_exact_minus5","random_intercept_slope",495,87,"splines::ns(t_years, df = 3)3",-0.31333285462044,0.773868772112396,404,-0.404891456939332,0.685771594385199,1741.05667727341
"floor_as_exact_minus5","random_intercept_slope",495,87,"sample_bm",1.24490070820304,0.662614166792468,404,1.87877164508761,0.0609954646871482,1741.05667727341
"floor_shifted_to_minus5_5","random_intercept_slope",495,87,"(Intercept)",-2.90439910211956,0.775126083049101,404,-3.74700215311369,0.000205015422069378,1858.55598912112
"floor_shifted_to_minus5_5","random_intercept_slope",495,87,"splines::ns(t_years, df = 3)1",-1.31903664723968,0.428154166563126,404,-3.08075163165605,0.00220603917511729,1858.55598912112
"floor_shifted_to_minus5_5","random_intercept_slope",495,87,"splines::ns(t_years, df = 3)2",-4.5335741666949,0.622744975332856,404,-7.27998514042079,1.75717425294249e-12,1858.55598912112
"floor_shifted_to_minus5_5","random_intercept_slope",495,87,"splines::ns(t_years, df = 3)3",-0.530021484321363,0.851988226262092,404,-0.622099540796137,0.534227339944916,1858.55598912112
"floor_shifted_to_minus5_5","random_intercept_slope",495,87,"sample_bm",1.43667814391177,0.749829623878597,404,1.9160061141361,0.0560697546752564,1858.55598912112
"nonfloor_only","fixed_effect_only",256,81,"(Intercept)",-1.06686239809055,0.130181621127016,252,-8.1951844573331,1.2713992146445e-14,746.983447787181
"nonfloor_only","fixed_effect_only",256,81,"splines::ns(t_years, df = 3)1",-0.305059227924788,0.385918801589712,252,-0.790475163863902,0.429993574403739,746.983447787181
"nonfloor_only","fixed_effect_only",256,81,"splines::ns(t_years, df = 3)2",-1.31714441963262,0.353730139773736,252,-3.72358550072983,0.000242348487643688,746.983447787181
"nonfloor_only","fixed_effect_only",256,81,"splines::ns(t_years, df = 3)3",0.414970513527433,0.486454898780843,252,0.853050333273312,0.394441460880463,746.983447787181
