"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"beta0",-2.09037997306075,-2.06685445,0.722185737905322,0.72941266146,-3.27826157,-0.938210912,1.00164596143234,3332.05883568818,2993.20645452716
"beta_time",-3.425572120225,-3.42191795,0.433490391884923,0.4245365796,-4.154862255,-2.716477135,1.00257233854919,3212.51780244597,2747.81405515103
"beta_time2",0.6186949191018,0.620045325,0.226160480360672,0.227565526797,0.2383175425,0.9828883625,1.00170162597903,3729.97079036364,3036.51066138069
"beta_bm",0.69688677714283,0.672164045,0.70411824550817,0.714316094373,-0.416312174,1.868626995,1.00178830607668,3421.33479625547,3076.88566754951
"sigma_y",1.570753952275,1.5675504,0.081564877312597,0.0833461381200001,1.44268632,1.7111185,1.00094676554239,4720.41461286717,3377.84973403461
"gamma0",-4.0327849203575,-3.9682224,1.10646690438345,1.0926865782,-5.995671325,-2.36265183,1.00096566515579,2844.91015690528,3023.74973162845
"gamma_time",-0.286441752183395,-0.2755983,0.425407398544976,0.41454266388612,-0.9975731375,0.388996546,1.00019034241278,6632.36653240501,3011.50921987936
"gamma_gap",-1.8588932191325,-1.8559379,0.51400761328564,0.52672004028,-2.689821865,-1.009896855,1.00542721808299,7374.89481109228,2835.42632664021
"alpha_mrd",-1.3014238478725,-1.27593355,0.257565035584673,0.24994152645,-1.774175405,-0.923550696,1.00229423718497,1808.73432654393,2461.33834335711
"tau_b[1]",0.84911957815475,0.851737315,0.204428376317127,0.191254384419,0.5035912475,1.165993555,1.00778049687468,824.489587241296,688.024173514787
"tau_b[2]",1.962197608725,1.9486105,0.310945354518262,0.3108560007,1.479242155,2.500113715,1.00186488813824,1250.25694737559,2439.48552024292
