"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"beta0",-2.11922877175652,-2.11706045,0.736553410815425,0.72756697272,-3.321511845,-0.903057136,1.00023019042724,2827.67774482915,3929.74010301926
"beta_time",-3.54034833665,-3.5464865,0.478696838221326,0.47005580958,-4.30851617,-2.721717345,1.00028490352612,2919.11337260921,3814.89046731985
"beta_time2",0.496030571770833,0.49932812,0.255615732889532,0.257395957707,0.0719132286,0.907079663,1.00031607196082,3012.21650732374,3316.32652624482
"beta_bm",0.654352073357605,0.656186295,0.72134077157341,0.726023934531,-0.545629689,1.828708775,1.0002100718052,2963.97634146445,3661.07333037514
"sigma_y",1.73136475058333,1.74742,0.14631963546907,0.12513966843,1.461959135,1.936227285,1.00688709926269,383.563834647004,259.702469878962
"sigma_u",0.431703794313888,0.345164995,0.346544654870322,0.33856156929,0.02881463285,1.114583535,1.0111543484269,274.317650216236,273.720019460278
"ell",1.10448021817617,0.66847095,1.47562101148808,0.519318352518,0.167292468,3.53602706,1.00242801621487,1332.00771374461,3609.40168035932
"sigma_total",1.82087776556667,1.81814745,0.0993827094647719,0.0982745857800001,1.664098575,1.99261882,0.999983583698173,5089.36578756137,4717.41975002834
"gamma0",-4.04373541284167,-3.9769101,1.10863979096269,1.10200798092,-5.99509618,-2.33825266,1.00078460059912,2447.96714144937,4050.94483948429
"gamma_time",-0.241272329564322,-0.23705621,0.448452859915148,0.4455736824819,-0.999627658,0.4897041685,0.999890226649307,6406.22369079232,4342.35790673288
"gamma_gap",-1.82790554583817,-1.81305315,0.529481009799842,0.51850658454,-2.71347718,-0.966161862,1.00006144955943,6625.43233491667,4481.58885021871
"alpha_mrd",-1.24990221598833,-1.23214185,0.25724548004868,0.25560461367,-1.704066285,-0.8689402885,1.00055246476792,1647.3813019693,2960.78676106553
"tau_b[1]",0.9339915409965,0.955319385,0.254057284162739,0.225748489302,0.485781602,1.30868018,1.00129787737104,697.546101881731,526.016166846293
"tau_b[2]",2.1891436259,2.16713305,0.353074303325689,0.34401990945,1.639420655,2.79417558,1.00076199245244,1306.87524316401,2457.3203471537
