scen,n,informative,est,rep,conv,brier,cal_int,cal_slope,mean_pred,obs_rate,est_b0,est_b1,est_b2,est_log_sigma,est_log_tau0,est_log_tau1,est_g0,est_g1,est_g2,est_alpha,se_b0,se_b1,se_b2,se_log_sigma,se_log_tau0,se_log_tau1,se_g0,se_g1,se_g2,se_alpha,est_log_sthr,se_log_sthr
ni_n87,87,0,floor,0,1,0.18639000029475955,1.9983988115706528,0.699888064386585,0.6316715696313863,0.8850574712643678,-2.643818406022543,-2.533985491923427,0.1498937118273579,0.45073551075239915,0.28932483275434295,0.6775277712898473,-4.920317274702223,0.11463285702529398,-1.4622505726485555,-1.6032364928203036,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ni_n87,87,0,floor,1,1,0.18472297763722798,2.2187351120334093,1.0375775782574144,0.5991054239590184,0.8620689655172413,-2.5125652264655693,-1.957638714527798,-0.31539504981883076,0.5405808194524385,0.3977372236283214,1.0993536252565057,-4.420149927276454,0.016883738055272324,-2.6943126694315076,-1.6517926932488218,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ni_n87,87,0,floor,2,1,0.20241907514526708,2.239660655698916,0.865567656101214,0.605925928501724,0.896551724137931,-2.1055224159743995,-2.6329670412765225,0.1016994849123388,0.5865358471923426,0.15899098326126707,0.6445383155642768,-4.415696636699612,-0.29830462920904166,-0.9741549776242431,-1.4298722473180068,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ni_n87,87,0,floor,3,1,0.19439836277028158,1.9751948971457964,0.998891026099855,0.5617919924781096,0.8275862068965517,-1.9941664107295738,-2.8201726661392623,-0.05688593005479861,0.5799473261585634,0.3453461647066894,0.6986748826720836,-3.7767813105260197,-0.8213209908771183,-1.6847885304923402,-1.439172457849719,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ni_n87,87,0,floor,4,1,0.1955049627483267,1.8455687636297111,0.7856521453799025,0.6039317834597617,0.8620689655172413,-2.439683385509523,-2.8828642729038996,0.503096421557687,0.5807894201017542,0.37620637082137776,0.8067518227502682,-4.003021213324955,0.008726938227450815,-1.9262894849443584,-1.4555219591978257,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ni_n87,87,0,floor,5,1,0.16928586744605448,1.6653614741955964,0.9732508594129199,0.6012074065333716,0.8160919540229885,-2.344920859149212,-2.8378715652261985,0.15273845899023628,0.465537068840357,0.25734664025139947,0.6239014506681756,-4.9308630912070965,0.0573973117382085,-1.9465708478219539,-1.7723459057447166,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ni_n87,87,0,floor,6,1,0.21375532152063434,1.495064610241724,0.7577192929721271,0.5405684384445375,0.7816091954022989,-2.3278365506019782,-1.837172376697845,-0.1339302513054441,0.5823400669599096,0.2274171704845277,0.5588542726263377,-4.815864982087546,-0.027990365234005,-1.6566413934879227,-1.6308177924196392,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ni_n87,87,0,floor,7,1,0.20626917337649187,1.7648923259343505,0.5758378352019502,0.6062697970909967,0.8620689655172413,-2.384235523852665,-2.4244223228726547,0.10308884774397718,0.4966757051665254,0.2545263490237048,0.8985310784351954,-3.8568592331146268,-0.38304383445197837,-2.4724877892092745,-1.5920332699648454,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ni_n87,87,0,floor,8,1,0.15941660844230812,2.1394720859295333,1.080401967994939,0.6310744821869032,0.8735632183908046,-2.5961669891254924,-2.7351144302526422,-0.16163753521490073,0.5098938404263321,0.32708213413938064,0.6555675210884286,-5.174769923033797,-0.3446609818482283,-1.0816294416112513,-1.7306282790164085,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ni_n87,87,0,floor,9,1,0.1883103521154654,1.911088855714341,0.6976658738834376,0.6229877222181472,0.8735632183908046,-2.775027015529425,-2.3795810243184854,-0.29698747004515486,0.5375881610618607,0.41360816526568556,0.8570840129529314,-3.810611421004823,-0.3828164082548939,-1.800001237667503,-1.4175880356414972,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ni_n87,87,0,floor,10,1,0.205618192395845,1.652846813822121,0.6168402160640205,0.5873620267749656,0.8390804597701149,-2.0281717692710433,-3.04802283933416,0.018691528083914687,0.629923612897071,-0.07285501568813663,0.6799483299457826,-3.5593786053732774,-0.5242112134387072,-1.6235872692886595,-1.3983905170244901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ni_n87,87,0,floor,11,1,0.22136819883152162,1.650066198927334,0.4860522181220885,0.600147830570809,0.8505747126436781,-2.512263254271244,-2.6092231996854838,-0.031970223612417026,0.6030132642662133,0.2885545685759319,0.6929852413352926,-3.7775297611894882,-0.039267625811054654,-2.7437299223611546,-1.4716754577420024,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
