parameter,true,mean_est,mean_SE,empSD,coverage95,nrep
b0,-2.074,-2.253993748117292,0.16758331584856834,0.16494449246091636,0.85,40
b1,-3.561,-2.878620567085511,0.3592202195175758,0.38499625109395824,0.5,40
b2,0.502,0.14606497258555037,0.1915233392520099,0.20253217450318242,0.525,40
sigma,0.594982931772714,0.5596984775123485,0.031338411434746485,0.035909595341953565,0.775,40
tau0,-0.03252319170556006,0.2710389937464882,0.08070135622146649,0.08215287586345568,0.125,40
tau1,0.789820067820206,0.718463047168553,0.06581524399573196,0.11543581811896418,0.675,40
g0,-4.095,-4.38603393049898,0.7850540322874079,0.6423567565554781,1.0,40
g1,-0.228,-0.41100815845251243,0.3844448692530372,0.2441631263393995,1.0,40
g2,-1.831,-1.9606465788161536,0.5874262712341055,0.4291994440511853,1.0,40
alpha,-1.275,-1.6122239032886605,0.208719235850511,0.17259410225718605,0.7,40
