"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"lp__",-502.63817852375,-502.54843,14.9668483581447,15.1423646009999,-527.559509,-478.3177355,1.00197513478762,1467.27561841145,2901.70482751728
"beta0",-1.98734627361625,-1.9896467,0.525785931494833,0.52028236869,-2.86405102,-1.128415475,1.00227939291594,9922.07767826939,5812.79812099369
"beta_time",-3.200012144775,-3.20328415,0.289387551699911,0.28652594166,-3.674436645,-2.72686321,1.00099515436226,9591.82107249906,6153.96765358471
"beta_time2",1.03409969180875,1.0333981,0.139582364552355,0.13802761371,0.8027806145,1.26786818,1.00036400850807,9149.38503523703,5984.18870567711
"beta_bm",0.579012128584164,0.57882582,0.504644807769322,0.500157934353,-0.25263198,1.415253255,1.00139380693549,10096.2697161622,5992.96804143871
"sigma_y",1.1402340307375,1.13888625,0.0441034634350883,0.0442209171600001,1.0684895,1.21445098,1.00122012063463,5596.96373732038,5349.17102819419
"gamma0",-4.444425058075,-4.4085385,1.02276780473472,1.02137692818,-6.21015445,-2.850305425,0.999939070897266,8570.16234884224,5953.70701342965
"gamma_time",-0.357872931993734,-0.34795824,0.407084392505204,0.403830699195,-1.037056165,0.306979296,0.999806898801187,11676.0859326967,5354.51682505958
"gamma_gap",-1.87069321428125,-1.87372335,0.467265168319028,0.46717660038,-2.640670105,-1.1026387,1.00066226543826,13599.3218150942,6138.72293210552
"alpha_mrd",-1.54680002128875,-1.53137005,0.268140752713032,0.26372511039,-2.018930575,-1.13913963,1.00012539292602,7479.76553516502,5736.60720967139
"tau_b[1]",0.85524392420625,0.8519421,0.114376974578808,0.114492280161,0.674849863,1.04988109,1.0004291870977,3826.58017737196,5905.70244944432
"tau_b[2]",0.86597751234625,0.860649375,0.162115635334685,0.159304473027,0.6078836725,1.140745545,1.00105606460395,2202.53222690484,4050.24750632111
"z_b[1,1]",-0.440702582403111,-0.442611045,0.825969964153419,0.8039588984448,-1.79417804,0.917426231499999,1.00121833687097,11335.902687408,5949.99807158334
"z_b[2,1]",-0.626702281887354,-0.628862755,0.47774915785132,0.461685754215,-1.4112714,0.1636312435,1.00083194711286,10435.7940614297,5639.27278063448
"z_b[1,2]",-1.61479965690596,-1.6229762,0.632634125433167,0.61660318419,-2.65923349,-0.556050883000001,0.999727034038209,13025.9440257132,5641.67586849703
"z_b[2,2]",0.11531765732685,0.11241456,0.495807999733947,0.472800687807,-0.6934824165,0.923921821,1.00087032088184,11203.8942356953,5763.83223386932
"z_b[1,3]",0.355288051775418,0.334648335,0.687680137720405,0.681454813935,-0.7562502545,1.50672245,1.00001894174451,11772.8715784593,5606.26933689703
"z_b[2,3]",-0.599091771310012,-0.59164692,0.541793017974595,0.52014344907,-1.50827158,0.2964451255,0.999967330763048,10606.1017877844,6225.47807007803
"z_b[1,4]",-0.0553547295613695,-0.065859033,0.615209248418841,0.599230507344,-1.042383085,0.978022646499999,1.00008949923795,11527.3081375391,5978.67013792542
"z_b[2,4]",-0.694164368676585,-0.69191747,0.787741976750246,0.775796002611,-1.97596561,0.5888945905,1.00035810196699,12743.8833028341,6573.48551299848
"z_b[1,5]",-0.377356262858203,-0.376371355,0.808690964427553,0.815388776307,-1.693961485,0.9345655045,1.00067157643139,11673.5805014835,5964.99674995091
"z_b[2,5]",-0.516053188812184,-0.51620107,0.531168112453209,0.520878307173,-1.38681305,0.345443249499999,1.00027228012372,10869.1276569188,5849.26342697232
"z_b[1,6]",0.18746430417557,0.1768758,0.555993886334068,0.55394198475,-0.7116685505,1.1028182,1.00012554442244,12507.5728531033,6580.37699464582
