"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"lp__",-569.98339088875,-569.790975,14.4635079728828,14.455461195,-593.8692655,-546.5806105,1.00275432606482,1583.94578400007,2692.93896481166
"beta0",-2.07439354288245,-2.06129845,0.748441197621441,0.75466867833,-3.3101587,-0.8754179985,1.00039539950781,4077.49114026873,5351.40722570885
"beta_time",-3.561447882875,-3.5576864,0.481531611607293,0.477975414,-4.35078894,-2.778215055,1.00052135634686,4623.04347524293,5310.41967178623
"beta_time2",0.501807688501812,0.506593015,0.251741875469663,0.250265430072,0.0775695247,0.914381232,1.00018467022859,5019.40653230831,5086.33696933869
"beta_bm",0.6073146965377,0.599106495,0.727299613881413,0.7426619801118,-0.565196114,1.81546437,1.00033842976989,4293.18522349249,5392.72850109883
"sigma_y",1.812722492275,1.80864575,0.0968853028413176,0.0962588428199998,1.65972473,1.976234125,1.00027434159158,6909.97900854178,5898.03928258646
"gamma0",-4.09463972488125,-4.0368885,1.12698224356567,1.09186099239,-6.03868808,-2.32498394,1.00086562603899,3996.01737070159,5344.58637636428
"gamma_time",-0.228481493452566,-0.222753415,0.448327318787956,0.441508665339,-0.972776527,0.5067390005,1.00054695594456,10428.0849907377,5935.46134100449
"gamma_gap",-1.83127876078162,-1.82866225,0.526916979679479,0.52474788576,-2.698837525,-0.9730991815,0.999882679463696,9709.04709414312,6139.51034745286
"alpha_mrd",-1.2745888837875,-1.25008825,0.254738741904345,0.24369362766,-1.7244369,-0.898621958,1.00135905037811,3060.93873233358,4163.39154780914
"tau_b[1]",0.967730767225,0.971135565,0.229095995423074,0.216316981293,0.5893921895,1.33926616,1.00127003244758,1359.25784817661,1395.46345688968
"tau_b[2]",2.2027782605875,2.17932775,0.354175670214516,0.3441715053,1.657381445,2.815355395,1.0018030420887,1777.43946787886,3017.50738820678
"z_b[1,1]",-0.303881239264076,-0.2989795,0.975564357648668,0.969365852406,-1.919630145,1.27127509,1.00007938842059,9575.70491647882,6319.5366025809
"z_b[2,1]",-0.951774079880763,-0.889395955,0.636822705166754,0.630521113929,-2.103110895,-0.0212819226000016,1.0005623006014,7911.63140204065,5721.70378359142
"z_b[1,2]",-1.42913300296493,-1.45222745,0.803422003639973,0.778706427954,-2.73666477,-0.0788936125500006,1.00102335458659,6925.93307128556,4983.04387158224
"z_b[2,2]",-0.354990290433171,-0.317855675,0.532676324933354,0.510912722166,-1.28974224,0.458397124999999,1.00091520656089,5182.80427564171,5845.06498590764
"z_b[1,3]",0.297998298914141,0.27411801,0.823657938327292,0.81392567991,-1.03397678,1.67966176,1.00002972176172,7787.91201395138,6033.75013478167
"z_b[2,3]",-0.141784020709677,-0.126418815,0.412847721247045,0.389908329069,-0.8513213715,0.5078940215,1.00030643205914,5944.81844474787,5978.09447476147
"z_b[1,4]",0.329166377832958,0.33936316,0.79541734055759,0.795052189323,-0.9839678935,1.630493,1.00005341947706,6492.70669529174,5777.50001590216
"z_b[2,4]",-0.614798775660751,-0.606127035,0.626502608281603,0.620465194104,-1.649335415,0.3883485865,1.00057699422136,6826.63541009424,5855.19433217265
"z_b[1,5]",-0.135747552129725,-0.13277267,0.912943982306483,0.889268172429,-1.6428195,1.351558135,0.999922138733868,7504.65343096641,6140.85949674187
"z_b[2,5]",-0.34614532726363,-0.33197207,0.404203640291741,0.3887492264586,-1.033002515,0.275663001,0.999897252875124,6411.38009223712,5363.03289591978
"z_b[1,6]",0.297524744935466,0.296019215,0.722703556071539,0.716180197005,-0.8832632485,1.470067405,1.00000398492848,7488.9179278723,5871.83722665375
"z_b[2,6]",0.196488201718961,0.18994788,0.69443549324624,0.683718625527,-0.9399005185,1.343241565,1.00009686334779,8247.62719864249,6494.1541818652
"z_b[1,7]",0.323604305899188,0.307634395,0.775444371005058,0.771926238699,-0.9269839395,1.602186955,1.00018003684957,7130.31369013176,6280.20808774311
"z_b[2,7]",-1.00882482641942,-0.97486988,0.528956637041704,0.523032421191,-1.92103891,-0.2051994215,1.00032722394468,6845.05574895636,6190.2598466859
"z_b[1,8]",-0.978624728410984,-1.0138521,0.822322196802393,0.826088959962,-2.279052885,0.4241698805,1.0005832649597,6027.39108129844,5294.88693832299
"z_b[2,8]",-1.20852423110084,-1.17159925,0.660406850163027,0.646576515501,-2.34664376,-0.1853212865,1.0001038149703,6073.883574102,5778.69542610868
"z_b[1,9]",-0.923325114925362,-0.94124147,0.67267603803537,0.652890011928,-1.99809319,0.1965623055,1.00033171357676,7567.04935347113,5037.37620417044
"z_b[2,9]",-1.48729558898994,-1.46572635,0.712630427143226,0.71802629346,-2.70108205,-0.347234964000001,1.000045355973,8227.01585606181,5884.53351973069
"z_b[1,10]",0.58296706709839,0.56752918,0.885363297997492,0.8907122922873,-0.857804627,2.022137725,0.999857391942461,6804.5060002948,6172.42973825931
"z_b[2,10]",0.560854216291152,0.55657315,0.328464771343204,0.311076997056,0.0305802718,1.112896295,1.00040899579582,4643.3757538119,5617.79683057268
"z_b[1,11]",0.435346547975673,0.426880495,0.926826951452411,0.922759127913,-1.093765605,1.954854045,1.0008609357718,7195.34599745452,6027.17065630381
"z_b[2,11]",1.14883937476344,1.13544085,0.369581070904173,0.35361796533,0.5698010155,1.78019337,1.00020302704688,4774.96058771577,5146.81278984952
"z_b[1,12]",-0.0889987862376363,-0.084839888,0.964363169881129,0.9883757080932,-1.67908186,1.482354745,1.00023416952571,8346.93991201697,6149.6355113825
"z_b[2,12]",-0.197743794166607,-0.182291005,0.33503864311346,0.321110737185,-0.765418137,0.3230721935,1.0003077829512,5136.12089245045,5274.21412217124
"z_b[1,13]",0.178041551096512,0.168715195,0.781157605600006,0.770462341698,-1.06523659,1.466727265,0.999850641321242,8179.73430985642,6213.53560302095
"z_b[2,13]",-1.02144978309849,-0.982678125,0.57520276717242,0.568710059568,-2.015841395,-0.138530565,1.00085228770115,7333.24919821471,6272.99074987375
"z_b[1,14]",-0.387670659774665,-0.38583703,0.955320132640241,0.953285921217,-1.952764485,1.20025796,1.00050735005174,9501.40568461449,5720.20350725568
"z_b[2,14]",-1.05557368817158,-1.00610575,0.624809723260093,0.606684256605,-2.17124351,-0.1428675175,1.00011536462903,7888.85241097461,6005.92748369231
"z_b[1,15]",-0.309139588004683,-0.302916205,0.950881145451489,0.954733264989,-1.894284945,1.234717755,1.00039552458399,10767.9343977287,6056.90015058358
"z_b[2,15]",-0.901202459817027,-0.849988935,0.639914897821102,0.627807525975,-2.04180627,0.0580137334499997,1.00032600234568,8266.8457679891,5731.47614474149
"z_b[1,16]",-0.89454183554709,-0.921163865,0.837162105581175,0.842054945928,-2.2501089,0.528901467,1.00011991045718,6498.74935186279,6263.48864559764
"z_b[2,16]",0.5711434780318,0.56108971,0.437661367511982,0.424026320571,-0.128542815,1.29771429,1.00013377519423,4702.52207864161,5579.10245323678
"z_b[1,17]",0.449280556763104,0.442812475,0.756751706344228,0.7513581793074,-0.784091758,1.70157893,1.00117734152511,6618.72114860785,6168.47786026488
"z_b[2,17]",0.420472624527388,0.418803875,0.342968664732497,0.330710186709,-0.1489080995,0.9869237875,1.00003407715933,4756.60863861037,5234.10259221568
"z_b[1,18]",0.11420221417475,0.0969906755,0.806127327298508,0.8113749266553,-1.1980706,1.457983665,1.00057293363583,7497.62026978266,6710.12642060125
"z_b[2,18]",-0.00249909327502613,0.00373946795,0.341545493131875,0.32995863453,-0.573234052,0.544530374,1.00066813956644,5739.85226129462,6051.98125349549
"z_b[1,19]",0.162182208578441,0.14922323,0.769500810974806,0.752587219125,-1.096835335,1.434445865,1.00032080324541,7007.36891550872,6304.86524640198
"z_b[2,19]",-0.962167856029041,-0.924521105,0.568588559459349,0.571142450193,-1.964048465,-0.0904067726500005,1.00020007077038,6459.33113000662,5600.47979817914
"z_b[1,20]",0.67276589473981,0.657029255,0.825577602092871,0.825428350467,-0.672721883,2.028858885,1.00030887097472,6022.80538495921,5475.48704893347
"z_b[2,20]",-0.299108192223985,-0.277390085,0.45995854225265,0.4390833163227,-1.090642755,0.4147738315,1.0003719905619,5668.20438846494,5606.24820631614
"z_b[1,21]",0.602084681617304,0.611069925,0.848095298236783,0.8395275050757,-0.8064583455,1.99429918,1.00030412363489,6924.64700446781,6133.22602183809
"z_b[2,21]",-0.285991178078929,-0.264174465,0.435255414066846,0.4256997689973,-1.02660662,0.3804115275,1.00029916747931,5825.58886282282,5392.05435166217
"z_b[1,22]",-0.712386402094032,-0.721479815,0.921739299662858,0.901276683867,-2.21664827,0.828510652499999,0.999956718332186,7555.52545661701,5513.69530490409
"z_b[2,22]",-1.14621710485477,-1.1142771,0.724830262149191,0.721907599413,-2.416475315,-0.0309969790000004,0.999947145544593,7447.9159138225,5583.84534020119
"z_b[1,23]",-0.608385028303659,-0.608478185,0.966149188270477,0.9683024768298,-2.202448515,0.967277254,1.00030209057424,7737.34829637605,6299.30227556184
"z_b[2,23]",1.0763351586895,1.05670195,0.323731231875355,0.313551701085,0.5791927405,1.63746945,1.00076365204702,3022.97703880286,4710.32301575607
"z_b[1,24]",0.66436224565621,0.664442785,0.756787005947302,0.75204477285,-0.5553094455,1.926427275,1.00048744633955,6851.2264010034,5973.5809353953
"z_b[2,24]",-0.227634586831792,-0.211430725,0.424358912330099,0.4131425398863,-0.943646951,0.442267065999999,1.00004152139333,6030.09958779759,5525.81792986235
"z_b[1,25]",-0.126943491691828,-0.135647495,0.712885741095467,0.697029274893,-1.2765563,1.073462835,1.00034915005912,7808.90820882665,6485.75425703152
"z_b[2,25]",-1.05812478510611,-1.05489415,0.71754878800264,0.7182967197,-2.25904402,0.0891652756499995,1.00035404080603,8803.03545290545,6422.26475310505
"z_b[1,26]",0.591489984943652,0.598630645,0.948373016876449,0.967348100523,-0.9525383675,2.161483385,1.00068813403498,7017.44948946469,5672.74990745102
"z_b[2,26]",0.853510388649863,0.84477418,0.320474451604312,0.308163398949,0.3393125265,1.390337185,1.0006644632258,4358.03693109325,5117.95319065957
"z_b[1,27]",0.289671769532959,0.2872073,0.904243896796559,0.911637633816,-1.17487718,1.762351715,0.999958046959704,7811.45690153604,5971.28443049272
"z_b[2,27]",1.13583003911038,1.12607995,0.334495175558397,0.32253525633,0.612354724,1.704868125,1.00012319284345,3942.95851777911,4684.98438673157
"z_b[1,28]",0.84117033002191,0.842644815,0.741161904423738,0.727972293321,-0.368936889,2.03858823,1.00140360829272,6262.92169387781,4722.62349659628
"z_b[2,28]",-0.286633249715993,-0.2676802,0.423725517393442,0.40450358506278,-1.01348436,0.3834184145,1.00063308445448,5414.99095246153,5664.06173747686
"z_b[1,29]",-0.128686306346839,-0.13471329,0.740681506617632,0.730627125837,-1.33329926,1.101999985,1.00077359549348,9901.03732495323,6577.4534280718
"z_b[2,29]",-1.14175244856305,-1.09716385,0.651282376128379,0.629722919154,-2.27842606,-0.1315442645,1.00005847106007,8924.16362900204,6036.35950351948
"z_b[1,30]",0.840721060427321,0.838992475,0.869221817106238,0.858777628695,-0.5768233305,2.26352665,1.00035803117492,6438.62721895298,5833.87424425332
"z_b[2,30]",-0.173352507245641,-0.15364377,0.402422463325121,0.384469574055,-0.8666229865,0.455005913,1.00067311614839,5419.08726200121,5286.54934467972
"z_b[1,31]",-0.22488264008371,-0.223202735,0.848635163535904,0.847622175645,-1.63686317,1.152066175,1.00079232020704,10104.0988845209,6631.56989473079
"z_b[2,31]",-0.855541667109334,-0.811825105,0.688305387667436,0.6769099407,-2.03728775,0.2101406005,1.00123463905679,8744.71317567456,5245.62141746204
"z_b[1,32]",-0.482535198379771,-0.491915835,0.704155995436374,0.6895180860015,-1.61224366,0.692351781499999,0.999918064211152,7514.58475784848,5885.60757265529
"z_b[2,32]",0.0548170454886387,0.0578649835,0.391092420736974,0.3883289946081,-0.5892415395,0.693811858,1.00001818771455,5919.92005091409,5770.77020545075
