"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"lp__",-571.060238345,-571.09588,15.8063872504914,15.854620467,-597.4273415,-545.173426,1.01231537025147,430.491766792339,1235.47806745787
"beta0",-2.08534414181322,-2.08965555,0.748807114934273,0.75600805917,-3.365768015,-0.8525255665,1.00035496868991,2136.86304179921,2582.75728492691
"beta_time",-3.538528883925,-3.5328744,0.476070147903115,0.46857817629,-4.330220325,-2.76785548,1.00236747810038,2558.57494608529,2706.72015980256
"beta_time2",0.4994111351961,0.503964055,0.255463634026167,0.251477700201,0.08441082985,0.917008917999999,1.00084640920433,2582.81072966884,2359.03822458947
"beta_bm",0.613292892814402,0.601060985,0.731493012624154,0.718560422349,-0.590616327,1.857945245,1.00014622677018,2280.82829199338,2811.30294809072
"sigma_y",1.814664612,1.8125571,0.096849731854547,0.0945799465799999,1.658836435,1.982088755,1.00062178616811,3345.45441048928,2915.51339644531
"gamma0",-4.03587701561,-3.97438815,1.1572110119247,1.14817332798,-6.08204807,-2.25442087,1.00148905332812,1778.36278360006,2209.93793201999
"gamma_time",-0.21538349058927,-0.20631635,0.432886236345313,0.434181241011,-0.9339124065,0.466540162,1.00037060257861,4981.96142688871,3066.72059468712
"gamma_gap",-1.83699678921092,-1.83762995,0.528024102071124,0.51928776648,-2.693955325,-0.978585671,1.00169459489768,4359.42290917081,3094.00999432013
"alpha_mrd",-1.25610460948,-1.2299708,0.262356718699883,0.25257981315,-1.733400265,-0.864117954,1.00215273927324,1067.501347716,1821.78532916744
"tau_b[1]",0.9644787283435,0.97660488,0.293329671904893,0.282206431038,0.4716117695,1.416347075,1.00566357609526,586.537430418149,652.373451943786
"tau_b[2]",2.2116039057,2.1900286,0.368694465373494,0.36958616037,1.64575258,2.84403506,1.00804411474281,637.271272969225,1201.25937467004
"L_b[1,1]",1,1,0,0,1,1,NA,NA,NA
"L_b[2,1]",0.026158999837059,0.00135706765,0.26749769496382,0.269351377239,-0.367571048,0.522871532,1.01896128151585,191.051738792577,858.138475174021
"L_b[1,2]",0,0,0,0,0,0,NA,NA,NA
"L_b[2,2]",0.9612823485175,0.983328565,0.0609569843031992,0.0225673736609999,0.843646463,0.99985276,1.00371612561433,900.840373609205,1045.95903355018
"z_b[1,1]",-0.330196202331375,-0.346550035,0.948249862020323,0.950238570351,-1.88125395,1.22254899,1.00207651192733,2240.64207610093,3012.78575004187
"z_b[2,1]",-0.933137829797153,-0.875993,0.681723725817187,0.631152256749,-2.138142715,0.0923549378999995,1.00091497492671,3731.54650315367,2653.77704636902
"z_b[1,2]",-1.38303537682883,-1.3959486,0.796044406410111,0.78918286503,-2.663526145,-0.0478160077,1.00082487163797,3621.76330740394,1797.63688683883
"z_b[2,2]",-0.37220621946621,-0.370211955,0.609099215420242,0.5658988001499,-1.369166225,0.616832635,1.00049455640329,2068.15639278743,2083.99335746171
"z_b[1,3]",0.285084527861682,0.27264,0.806209959476601,0.802051484619,-0.9972328585,1.624592775,1.00118376922324,3639.54917490214,2785.11848076942
"z_b[2,3]",-0.146367856640673,-0.120867525,0.472783713159554,0.428913199974,-0.9502716115,0.5695577495,1.00180167434792,3788.60020698549,2087.07828535104
"z_b[1,4]",0.337505649963798,0.335092775,0.818653218737881,0.844647279441,-0.98042412,1.67789533,1.003754514789,2029.79302692179,2134.67041556246
"z_b[2,4]",-0.61715979461509,-0.608642655,0.653074383828784,0.632104056297,-1.692104565,0.452607337499999,1.00111325677549,3973.71877864419,2155.29603593027
"z_b[1,5]",-0.16279584572763,-0.1651087,0.910957283699687,0.891291743517,-1.668960315,1.325449725,1.00038860089286,4058.29115735984,3127.84159384768
"z_b[2,5]",-0.334265549782354,-0.32883174,0.448826074300874,0.4205101760328,-1.06516117,0.384773639,1.00152591742343,3701.29244090666,2166.59549845178
"z_b[1,6]",0.290233993179408,0.281616935,0.728110083206201,0.717399991329,-0.901543782,1.500244235,1.00012604900883,4552.4502476938,2316.35054213768
"z_b[2,6]",0.188529457666475,0.184646235,0.723096350889282,0.709152747135,-0.9802345265,1.361491255,1.00027375322277,5033.62710754629,3007.8210195617
"z_b[1,7]",0.291032443380985,0.25370409,0.810033969911537,0.793209591804,-0.9712072815,1.66824353,1.00272011602497,1614.71725031819,2641.99626808951
"z_b[2,7]",-0.989467335746963,-0.96331125,0.547381263344089,0.52695102936,-1.936480555,-0.148076545500001,1.00160303390349,3613.64756272575,2538.42802127469
"z_b[1,8]",-1.00900745640245,-1.03713545,0.803055063475612,0.768735513,-2.28565731,0.356483186999999,1.00185381504645,2173.9477714572,1701.12992864134
"z_b[2,8]",-1.17982076947945,-1.1829318,0.664868395637135,0.66221300103,-2.28409678,-0.0979393796500003,1.00325122696085,1889.47933968014,1953.32927429146
"z_b[1,9]",-0.953295315055425,-0.95367599,0.706532095431675,0.664197816954,-2.10136872,0.195754208,1.00047107035183,1967.52733650936,2120.75593895721
"z_b[2,9]",-1.45317315704333,-1.4429814,0.732606790446945,0.729931830915,-2.675639435,-0.292859684500001,1.00132781499465,2570.70585823033,2262.77744059246
