"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"beta0",-2.07651163599525,-2.0840669,0.734952255648797,0.74343613008,-3.29705723,-0.8644268555,1.0005260156568,4330.06574083581,3701.119040258
"beta_time",-3.57367629205,-3.5769916,0.467921024738713,0.47680334457,-4.327609515,-2.798982415,1.00053160225446,4696.89028206708,3627.31604705086
"beta_time2",0.519476250170683,0.51483729,0.233785056176936,0.243068089068,0.143205261,0.9105278995,1.00017962608179,4073.84870857284,2061.89229451934
"beta_bm",0.612737366192762,0.617828095,0.717403831342349,0.719065944471,-0.5478631625,1.790224275,1.00047612520336,4265.25099451651,4278.17388586554
"sigma_y",1.81090531303333,1.80797615,0.0960396677050831,0.0967862036400001,1.661163425,1.969901385,0.999850153678961,6471.49464270034,4555.35563555154
"tau_b[1]",0.969115537008333,0.974365675,0.226330351905803,0.216563337522,0.5853176925,1.332565705,1.00391333518533,1282.01222867966,1563.53776942401
"tau_b[2]",2.19921494883333,2.17539795,0.34943527558737,0.33749179926,1.662976655,2.81450769,1.00079368810203,1659.67277465816,3128.11910326234
"gamma0[1]",-4.07219462496333,-4.00050395,1.11974694343347,1.1481966048,-6.04432599,-2.36301558,1.0001025717344,3807.80808146827,3749.2716387066
"gamma_time[1]",-0.23465886016904,-0.223515335,0.446157598736106,0.4439666041272,-0.979080612,0.4719598965,1.00043542771634,9938.3886909107,4296.17578572556
"gamma_gap[1]",-1.8381839305565,-1.83631395,0.534967723299882,0.54515913648,-2.71300356,-0.9697167745,1.00128062773792,8948.5202244749,4782.63044982275
"alpha_mrd[1]",-1.26852440973833,-1.24408395,0.254921178065931,0.24395419461,-1.72321464,-0.8920439985,1.00084400343829,2778.51112518206,3791.28109375264
"nadir_years",Inf,30.687365,NA,29.9200036716,8.054931585,54355.2819500001,1.00027630873098,3725.15414564956,NA
"nadir_depth",-12.5867980568333,-8.4041474,39.541250474216,2.19269549541,-19.3641069,-5.81523168,1.00043982176606,3185.93742078385,1933.32649209882
