"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"beta0",-2.14523075061667,-2.14981675,0.22567415878691,0.224381947229999,-2.5134868,-1.758804155,1.00058238565309,3433.15794568038,4802.79675344075
"beta_time",-3.46578933243333,-3.45816435,0.388864128376198,0.39673108377,-4.11432894,-2.8506043,1.00098561039849,2596.80482030841,3651.49203365281
"beta_time2",0.25906509498158,0.244720675,0.158112610360799,0.167358452898,0.03254875595,0.5458421725,1.00289422904774,1580.12958931618,2884.30408910672
"beta_bm",0.863178899906667,0.86296833,0.166685082147341,0.165125894514,0.5854757205,1.135073275,1.0002975031661,4646.88342953638,4279.0022355886
"sigma_y",1.87668898393333,1.8734206,0.100641547491018,0.09924954354,1.71693884,2.049466075,1.00037082035576,8500.0575163291,4648.37804936082
"tau_b[1]",0.666260931788855,0.6972366,0.274380984041035,0.265204930515,0.1330828835,1.08018504,1.00715389681357,463.258258928368,849.733730636775
"tau_b[2]",2.09864202746667,2.08080515,0.348246665192909,0.34622601825,1.55093687,2.70136941,1.00448362361181,957.073189651109,2547.44572123987
"sigma_thr[1]",0.781286547676667,0.77965359,0.171661885687527,0.16784003103,0.50376508,1.062582915,1.00493080120903,762.369559047805,1053.94783715299
"nadir_years",Inf,1165.4628,NA,1677.2740650708,31.93677125,6.33026345000017e+20,1.00301046717999,1549.27363301926,NA
"nadir_depth",-36.1112796252333,-14.371138,208.935517354351,6.4236899307,-78.5789287,-8.51496318,1.00296583086662,1542.51834948704,3227.79686878777
