"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"beta0",-1.68602135752833,-1.69283375,0.252250619098446,0.2526402291,-2.091333295,-1.25821029,1.00355183572316,2271.20958457175,3243.47474531432
"beta_time",-4.47492272036667,-4.4641051,0.392486860291348,0.39029378283,-5.126475205,-3.84299756,1.00179009449762,2462.76883002937,3753.14345621985
"beta_time2",1.063117035175,1.06020455,0.141213132481641,0.143489230416,0.833685949,1.29923768,1.0008894061371,3132.977130148,4593.88525426721
"beta_bm",0.568778676510667,0.57073891,0.133618197446884,0.131012825244,0.3467256695,0.787020495,1.00102455771428,2961.21697849015,4366.99469454186
"sigma_y",1.77221820431667,1.769123,0.0913926648573568,0.0918079293599999,1.62960365,1.92737095,1.0006854611512,5153.09644559156,4831.45920524772
"tau_b[1]",1.50229376126167,1.49100165,0.180364464607004,0.17779643133,1.22756519,1.820703355,1.00522127825033,1095.83241656977,2332.5847043542
"tau_b[2]",2.33299656155,2.30913025,0.317141786592752,0.31050121452,1.85601607,2.88989458,1.00072834276678,1597.87166084409,3130.36040763227
"sigma_thr[1]",0.2933138020265,0.272237345,0.118916770843069,0.117235935243,0.136654325,0.5178450845,1.01116399568179,420.082831104029,1221.12456320965
"nadir_years",7.62203498873333,7.2396057,2.14227847076084,1.78159015986,5.006760565,11.5041969,1.00161846191178,1987.48683033486,3791.21450312869
"nadir_depth",-6.44715363505,-6.41999605,0.665248453086564,0.63443545221,-7.588175415,-5.418407495,1.00283383608433,1597.47034052053,3061.99277845015
