"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"beta0",-2.00589358245,-2.01154185,0.210222065442393,0.20772426906,-2.343903315,-1.653972555,1.00009842118607,4173.13560084517,4134.05651776551
"beta_time",-3.97254905393333,-3.9609496,0.40718885666674,0.41034023982,-4.65663057,-3.329342745,1.00074548288446,3977.65077887535,4335.20139250195
"beta_time2",0.832676428871667,0.820850305,0.208778394175298,0.213904034967,0.501491229,1.189073515,1.00157392510127,5712.78333843814,4315.80769769329
"beta_bm",0.706605576835,0.707712035,0.117629203259316,0.118740314637,0.5118685355,0.9008161205,0.999843609308859,5075.38532724513,4941.48058370798
"sigma_y",1.5815956851,1.57850245,0.0827891584830884,0.0832274559900001,1.44929928,1.720002895,1.00012416301456,7841.22423837292,4728.35191297288
"tau_b[1]",1.047976007675,1.0435034,0.139546716915661,0.137125407132,0.8323824325,1.286218765,1.00093120019162,2175.73989533036,4397.49852407636
"tau_b[2]",2.30044403963333,2.27987985,0.320754662493428,0.31614836379,1.810385385,2.853371555,1.00113573774632,2490.32352145854,3204.11999201676
"sigma_thr[1]",0.267450119573667,0.25161017,0.0995205247233729,0.093833931912,0.133672999,0.4537602265,1.00302539162125,537.052709983369,1665.7727685358
"sigma_zeta[1]",4.87495604755,4.8604683,0.566952143729701,0.56844996705,3.96217005,5.84371501,0.999862516635243,4963.34402570315,4977.36168503359
"nadir_years",15.4252003097667,10.0215545,29.258628317082,5.18657631828,4.98750795,37.6241087,1.0011581451991,5170.47868207069,4429.08388460685
"nadir_depth",-6.97655191523333,-6.78632,1.16888423587366,0.99175828668,-9.101114065,-5.48420863,1.00082879206603,4097.95263699184,4456.21339863004
